Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
347,347,0,1,0,6096
348,348,0,1,0,13120
349,349,0,1,0,12322
350,350,0,1,0,4627
351,351,0,1,0,2776
352,352,0,1,0,9747
353,353,0,1,0,13982
354,354,0,1,0,9073
355,355,0,1,0,2410
356,356,0,1,0,5376
357,357,0,1,0,12735
358,358,0,1,0,12786
359,359,0,1,0,5306
360,360,0,1,0,2493
361,361,0,1,0,9001
362,362,0,1,0,13960
363,363,0,1,0,9811
364,364,0,1,0,2682
365,365,0,1,0,4747
366,366,0,1,0,12242
367,367,0,1,0,13174
368,368,0,1,0,6009
369,369,0,1,0,2288
370,370,0,1,0,8285
371,371,0,1,0,13878
372,372,0,1,0,10537
373,373,0,1,0,3053
374,374,0,1,0,4160
375,375,0,1,0,11702
376,376,0,1,0,13501
377,377,0,1,0,6760
378,378,0,1,0,2141
379,379,0,1,0,7522
380,380,0,1,0,13709
381,381,0,1,0,11186
382,382,0,1,0,3499
383,383,0,1,0,3625
384,384,0,1,0,11097
385,385,0,1,0,13720
386,386,0,1,0,7535
387,387,0,1,0,2139
388,388,0,1,0,6790
389,389,0,1,0,13435
390,390,0,1,0,11786
391,391,0,1,0,4044
392,392,0,1,0,3160
393,393,0,1,0,10455
394,394,0,1,0,13894
395,395,0,1,0,8311
396,396,0,1,0,2237
397,397,0,1,0,6077
398,398,0,1,0,13119
399,399,0,1,0,12319
400,400,0,1,0,4646
401,401,0,1,0,2774
402,402,0,1,0,9744
403,403,0,1,0,13986
404,404,0,1,0,9076
405,405,0,1,0,2414
406,406,0,1,0,5384
407,407,0,1,0,12737
408,408,0,1,0,12774
409,409,0,1,0,5301
410,410,0,1,0,2496
411,411,0,1,0,9015
412,412,0,1,0,13969
413,413,0,1,0,9828
414,414,0,1,0,2672
415,415,0,1,0,4752
416,416,0,1,0,12253
417,417,0,1,0,13186
418,418,0,1,0,5994
419,419,0,1,0,2280
420,420,0,1,0,8280
421,421,0,1,0,13882
422,422,0,1,0,10512
423,423,0,1,0,3049
424,424,0,1,0,4145
425,425,0,1,0,11692
426,426,0,1,0,13502
427,427,0,1,0,6775
428,428,0,1,0,2147
429,429,0,1,0,7520
430,430,0,1,0,13688
431,431,0,1,0,11172
432,432,0,1,0,3505
433,433,0,1,0,3617
434,434,0,1,0,11091
435,435,0,1,0,13733
