Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
4115,4115,0,-4841,1,-7438,00000001
4116,4116,0,-7438,1,3314,00000001
4117,4117,0,3314,1,-7573,00000001
4118,4118,0,-7573,1,-4840,00000001
4119,4119,0,-4840,1,-7440,00000001
4120,4120,0,-7440,1,3312,00000001
4121,4121,0,3312,1,-7574,00000001
4122,4122,0,-7574,1,-4844,00000001
4123,4123,0,-4844,1,-7453,00000001
4124,4124,0,-7453,1,3311,00000001
4125,4125,0,3311,1,-7571,00000001
4126,4126,0,-7571,1,-4843,00000001
4127,4127,0,-4843,1,-7450,00000001
4128,4128,0,-7450,1,3313,00000001
4129,4129,0,3313,1,-7566,00000001
4130,4130,0,-7566,1,-4840,00000001
4131,4131,0,-4840,1,-7457,00000001
4132,4132,0,-7457,1,3313,00000001
4133,4133,0,3313,1,-7560,00000001
4134,4134,0,-7560,1,-4839,00000001
4135,4135,0,-4839,1,-7464,00000001
4136,4136,0,-7464,1,3316,00000001
4137,4137,0,3316,1,-7555,00000001
4138,4138,0,-7555,1,-4838,00000001
4139,4139,0,-4838,1,-7468,00000001
4140,4140,0,-7468,1,3315,00000001
4141,4141,0,3315,1,-7548,00000001
4142,4142,0,-7548,1,-4837,00000001
4143,4143,0,-4837,1,-7473,00000001
4144,4144,0,-7473,1,3319,00000001
4145,4145,0,3319,1,-7545,00000001
4146,4146,0,-7545,1,-4838,00000001
4147,4147,0,-4838,1,-7475,00000001
4148,4148,0,-7475,1,3325,00000001
4149,4149,0,3325,1,-7541,00000001
4150,4150,0,-7541,1,-4841,00000001
4151,4151,0,-4841,1,-7471,00000001
4152,4152,0,-7471,1,3320,00000001
4153,4153,0,3320,1,-7535,00000001
4154,4154,0,-7535,1,-4841,00000001
4155,4155,0,-4841,1,-7486,00000001
4156,4156,0,-7486,1,3318,00000001
4157,4157,0,3318,1,-7534,00000001
4158,4158,0,-7534,1,-4842,00000001
4159,4159,0,-4842,1,-7491,00000001
4160,4160,0,-7491,1,3322,00000001
4161,4161,0,3322,1,-7529,00000001
4162,4162,0,-7529,1,-4845,00000001
4163,4163,0,-4845,1,-7495,00000001
4164,4164,0,-7495,1,3330,00000001
4165,4165,0,3330,1,-7535,00000001
4166,4166,0,-7535,1,-4841,00000001
4167,4167,0,-4841,1,-7485,00000001
4168,4168,0,-7485,1,3329,00000001
4169,4169,0,3329,1,-7536,00000001
4170,4170,0,-7536,1,-4839,00000001
4171,4171,0,-4839,1,-7486,00000001
4172,4172,0,-7486,1,3326,00000001
4173,4173,0,3326,1,-7539,00000001
4174,4174,0,-7539,1,-4844,00000001
4175,4175,0,-4844,1,-7487,00000001
4176,4176,0,-7487,1,3323,00000001
4177,4177,0,3323,1,-7536,00000001
4178,4178,0,-7536,1,-4842,00000001
4179,4179,0,-4842,1,-7479,00000001
4180,4180,0,-7479,1,3321,00000001
4181,4181,0,3321,1,-7536,00000001
4182,4182,0,-7536,1,-4845,00000001
4183,4183,0,-4845,1,-7488,00000001
4184,4184,0,-7488,1,3322,00000001
4185,4185,0,3322,1,-7540,00000001
4186,4186,0,-7540,1,-4843,00000001
4187,4187,0,-4843,1,-7481,00000001
4188,4188,0,-7481,1,3323,00000001
4189,4189,0,3323,1,-7549,00000001
4190,4190,0,-7549,1,-4842,00000001
4191,4191,0,-4842,1,-7471,00000001
4192,4192,0,-7471,1,3321,00000001
4193,4193,0,3321,1,-7550,00000001
4194,4194,0,-7550,1,-4838,00000001
4195,4195,0,-4838,1,-7462,00000001
4196,4196,0,-7462,1,3319,00000001
4197,4197,0,3319,1,-7563,00000001
4198,4198,0,-7563,1,-4839,00000001
4199,4199,0,-4839,1,-7453,00000001
4200,4200,0,-7453,1,3318,00000001
4201,4201,0,3318,1,-7559,00000001
4202,4202,0,-7559,1,-4846,00000001
4203,4203,0,-4846,1,-7441,00000001
4204,4204,0,-7441,1,3319,00000001
4205,4205,0,3319,1,-7573,00000001
4206,4206,0,-7573,1,-4845,00000001
4207,4207,0,-4845,1,-7442,00000001
4208,4208,0,-7442,1,3314,00000001
4209,4209,0,3314,1,-7571,00000001
4210,4210,0,-7571,1,-4843,00000001
4211,4211,0,-4843,1,-7439,00000001
4212,4212,0,-7439,1,3311,00000001
4213,4213,0,3311,1,-7573,00000001
4214,4214,0,-7573,1,-4840,00000001
4215,4215,0,-4840,1,-7441,00000001
4216,4216,0,-7441,1,3308,00000001
4217,4217,0,3308,1,-7576,00000001
4218,4218,0,-7576,1,-4841,00000001
4219,4219,0,-4841,1,-7439,00000001
4220,4220,0,-7439,1,3311,00000001
4221,4221,0,3311,1,-7569,00000001
4222,4222,0,-7569,1,-4842,00000001
4223,4223,0,-4842,1,-7440,00000001
