Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
475,475,0,1,0,13320
476,476,0,0,0,6056
477,477,0,1,0,6056
478,478,0,0,0,9537
479,479,0,1,0,9537
480,480,0,0,0,5893
481,481,0,1,0,4869
482,482,0,0,0,15193
483,483,0,1,0,15193
484,484,0,0,0,15386
485,485,0,1,0,13338
486,486,0,0,0,6066
487,487,0,1,0,6066
488,488,0,0,0,9543
489,489,0,1,0,9543
490,490,0,0,0,5943
491,491,0,1,0,4919
492,492,0,0,0,15221
493,493,0,1,0,15221
494,494,0,0,0,15379
495,495,0,1,0,13331
496,496,0,0,0,6080
497,497,0,1,0,6080
498,498,0,0,0,9522
499,499,0,1,0,9522
500,500,0,0,0,5923
501,501,0,1,0,4899
502,502,0,0,0,15208
503,503,0,1,0,15208
504,504,0,0,0,15367
505,505,0,1,0,13319
506,506,0,0,0,6050
507,507,0,1,0,6050
508,508,0,0,0,9523
509,509,0,1,0,9523
510,510,0,0,0,5919
511,511,0,1,0,4895
512,512,0,0,0,15223
513,513,0,1,0,15223
514,514,0,0,0,15390
515,515,0,1,0,13342
516,516,0,0,0,6073
517,517,0,1,0,6073
518,518,0,0,0,9515
519,519,0,1,0,9515
520,520,0,0,0,5902
521,521,0,1,0,4878
522,522,0,0,0,15194
523,523,0,1,0,15194
524,524,0,0,0,15406
525,525,0,1,0,13358
526,526,0,0,0,6076
527,527,0,1,0,6076
528,528,0,0,0,9527
529,529,0,1,0,9527
530,530,0,0,0,5930
531,531,0,1,0,4906
532,532,0,0,0,15228
533,533,0,1,0,15228
534,534,0,0,0,15408
535,535,0,1,0,13360
536,536,0,0,0,6030
537,537,0,1,0,6030
538,538,0,0,0,9556
539,539,0,1,0,9556
540,540,0,0,0,5924
541,541,0,1,0,4900
542,542,0,0,0,15197
543,543,0,1,0,15197
544,544,0,0,0,15386
545,545,0,1,0,13338
546,546,0,0,0,6120
547,547,0,1,0,6120
548,548,0,0,0,9517
549,549,0,1,0,9517
550,550,0,0,0,5932
551,551,0,1,0,4908
552,552,0,0,0,15212
553,553,0,1,0,15212
554,554,0,0,0,15387
555,555,0,1,0,13339
556,556,0,0,0,6047
557,557,0,1,0,6047
558,558,0,0,0,9519
559,559,0,1,0,9519
560,560,0,0,0,5911
561,561,0,1,0,4887
562,562,0,0,0,15215
563,563,0,1,0,15215
564,564,0,0,0,15399
565,565,0,1,0,13351
566,566,0,0,0,6077
567,567,0,1,0,6077
568,568,0,0,0,9534
569,569,0,1,0,9534
570,570,0,0,0,5886
571,571,0,1,0,4862
572,572,0,0,0,15182
573,573,0,1,0,15182
574,574,0,0,0,15396
575,575,0,1,0,13348
576,576,0,0,0,6072
577,577,0,1,0,6072
578,578,0,0,0,9518
579,579,0,1,0,9518
580,580,0,0,0,5926
581,581,0,1,0,4902
582,582,0,0,0,15192
583,583,0,1,0,15192
584,584,0,0,0,15406
585,585,0,1,0,13358
586,586,0,0,0,6075
587,587,0,1,0,6075
588,588,0,0,0,9538
589,589,0,1,0,9538
590,590,0,0,0,5918
591,591,0,1,0,4894
592,592,0,0,0,15177
593,593,0,1,0,15177
594,594,0,0,0,15407
595,595,0,1,0,13359
596,596,0,0,0,6075
597,597,0,1,0,6075
598,598,0,0,0,9519
599,599,0,1,0,9519
600,600,0,0,0,5913
601,601,0,1,0,4889
602,602,0,0,0,15223
603,603,0,1,0,15223
604,604,0,0,0,15390
605,605,0,1,0,13342
606,606,0,0,0,6079
607,607,0,1,0,6079
608,608,0,0,0,9497
609,609,0,1,0,9497
610,610,0,0,0,5945
611,611,0,1,0,4921
612,612,0,0,0,15202
613,613,0,1,0,15202
614,614,0,0,0,15411
615,615,0,1,0,13363
616,616,0,0,0,6060
617,617,0,1,0,6060
618,618,0,0,0,9511
619,619,0,1,0,9511
620,620,0,0,0,5905
621,621,0,1,0,4881
622,622,0,0,0,15201
623,623,0,1,0,15201
624,624,0,0,0,15375
625,625,0,1,0,13327
626,626,0,0,0,6080
627,627,0,1,0,6080
628,628,0,0,0,9545
629,629,0,1,0,9545
630,630,0,0,0,5911
631,631,0,1,0,4887
632,632,0,0,0,15224
633,633,0,1,0,15224
634,634,0,0,0,15382
635,635,0,1,0,13334
636,636,0,0,0,6073
637,637,0,1,0,6073
638,638,0,0,0,9564
639,639,0,1,0,9564
640,640,0,0,0,5957
641,641,0,1,0,4933
642,642,0,0,0,15196
643,643,0,1,0,15196
644,644,0,0,0,15391
645,645,0,1,0,13343
646,646,0,0,0,6083
647,647,0,1,0,6083
648,648,0,0,0,9520
649,649,0,1,0,9520
650,650,0,0,0,5925
651,651,0,1,0,4901
652,652,0,0,0,15210
653,653,0,1,0,15210
654,654,0,0,0,15402
655,655,0,1,0,13354
656,656,0,0,0,6091
657,657,0,1,0,6091
658,658,0,0,0,9533
659,659,0,1,0,9533
660,660,0,0,0,5923
661,661,0,1,0,4899
662,662,0,0,0,15195
663,663,0,1,0,15195
664,664,0,0,0,15379
665,665,0,1,0,13331
666,666,0,0,0,6051
667,667,0,1,0,6051
668,668,0,0,0,9520
669,669,0,1,0,9520
670,670,0,0,0,5927
671,671,0,1,0,4903
672,672,0,0,0,15214
673,673,0,1,0,15214
674,674,0,0,0,15408
675,675,0,1,0,13360
676,676,0,0,0,6065
677,677,0,1,0,6065
678,678,0,0,0,9545
679,679,0,1,0,9545
680,680,0,0,0,5931
681,681,0,1,0,4907
682,682,0,0,0,15211
683,683,0,1,0,15211
684,684,0,0,0,15398
685,685,0,1,0,13350
686,686,0,0,0,6072
687,687,0,1,0,6072
688,688,0,0,0,9509
689,689,0,1,0,9509
690,690,0,0,0,5914
691,691,0,1,0,4890
692,692,0,0,0,15193
693,693,0,1,0,15193
694,694,0,0,0,15383
695,695,0,1,0,13335
696,696,0,0,0,6060
697,697,0,1,0,6060
698,698,0,0,0,9508
