Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED
452,452,0,0,0,-5714
453,453,0,0,0,6387
454,454,0,0,0,-4669
455,455,0,0,0,6507
456,456,0,0,0,-6108
457,457,0,0,0,7157
458,458,0,0,0,-3951
459,459,0,0,0,2424
460,460,0,0,0,-781
461,461,0,0,0,-884
462,462,0,0,0,3589
463,463,0,0,0,-1950
464,464,0,0,0,5243
465,465,0,0,0,-5080
466,466,0,0,0,6563
467,467,0,0,0,-4685
468,468,0,0,0,6315
469,469,0,0,0,-5685
470,470,0,0,0,6554
471,471,0,0,0,-3214
472,472,0,0,0,1609
473,473,0,0,0,1100
474,474,0,0,0,-1724
475,475,0,0,0,3356
476,476,0,0,0,-4659
477,477,0,0,0,7769
478,478,0,0,0,-6412
479,479,0,0,0,7660
480,480,0,0,0,-4577
481,481,0,0,0,5994
482,482,0,0,0,-4155
483,483,0,0,0,3874
484,484,0,0,0,-391
485,485,0,0,0,1806
486,486,0,0,0,936
487,487,0,0,0,-2526
488,488,0,0,0,4040
489,489,0,0,0,-4190
490,490,0,0,0,8134
491,491,0,0,0,-6612
492,492,0,0,0,7671
493,493,0,0,0,-4375
494,494,0,0,0,5582
495,495,0,0,0,-4590
496,496,0,0,0,3158
497,497,0,0,0,-596
498,498,0,0,0,-49
499,499,0,0,0,3812
500,500,0,0,0,-2224
501,501,0,0,0,4675
502,502,0,0,0,-5729
503,503,0,0,0,6401
504,504,0,0,0,-4682
505,505,0,0,0,7535
506,506,0,0,0,-6103
507,507,0,0,0,7146
508,508,0,0,0,-3939
509,509,0,0,0,2406
510,510,0,0,0,-776
511,511,0,0,0,-897
512,512,0,0,0,3625
513,513,0,0,0,-1945
514,514,0,0,0,5234
515,515,0,0,0,-5089
516,516,0,0,0,6585
517,517,0,0,0,-4671
518,518,0,0,0,7309
519,519,0,0,0,-5673
520,520,0,0,0,6569
521,521,0,0,0,-3218
522,522,0,0,0,1612
523,523,0,0,0,1123
524,524,0,0,0,-1733
525,525,0,0,0,3362
526,526,0,0,0,-4647
527,527,0,0,0,7764
528,528,0,0,0,-6416
529,529,0,0,0,7676
530,530,0,0,0,-4591
531,531,0,0,0,5974
532,532,0,0,0,-4145
533,533,0,0,0,3855
534,534,0,0,0,-365
535,535,0,0,0,763
536,536,0,0,0,942
537,537,0,0,0,-2546
538,538,0,0,0,4062
539,539,0,0,0,-4213
540,540,0,0,0,8161
541,541,0,0,0,-6630
542,542,0,0,0,7659
543,543,0,0,0,-4353
544,544,0,0,0,5575
545,545,0,0,0,-4592
546,546,0,0,0,3150
547,547,0,0,0,-581
548,548,0,0,0,-68
549,549,0,0,0,3832
550,550,0,0,0,-3304
551,551,0,0,0,4696
552,552,0,0,0,-5736
553,553,0,0,0,6405
554,554,0,0,0,-4693
555,555,0,0,0,6521
556,556,0,0,0,-6083
557,557,0,0,0,7128
558,558,0,0,0,-3926
559,559,0,0,0,2396
560,560,0,0,0,-753
561,561,0,0,0,-910
562,562,0,0,0,3617
563,563,0,0,0,-1962
564,564,0,0,0,5234
565,565,0,0,0,-5091
566,566,0,0,0,6575
567,567,0,0,0,-4684
568,568,0,0,0,6276
569,569,0,0,0,-5664
570,570,0,0,0,6555
571,571,0,0,0,-3199
572,572,0,0,0,1587
573,573,0,0,0,1135
574,574,0,0,0,-1739
575,575,0,0,0,3356
576,576,0,0,0,-4663
577,577,0,0,0,7781
578,578,0,0,0,-6418
579,579,0,0,0,7674
580,580,0,0,0,-4578
581,581,0,0,0,5977
582,582,0,0,0,-4147
583,583,0,0,0,3844
584,584,0,0,0,-360
585,585,0,0,0,762
586,586,0,0,0,968
587,587,0,0,0,-2559
588,588,0,0,0,4071
589,589,0,0,0,-4202
590,590,0,0,0,8152
591,591,0,0,0,-6630
592,592,0,0,0,7674
593,593,0,0,0,-4359
594,594,0,0,0,5573
595,595,0,0,0,-4586
596,596,0,0,0,3154
597,597,0,0,0,-572
598,598,0,0,0,-86
599,599,0,0,0,3839
