Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
423,423,0,0,0,7814
424,424,0,0,0,10419
425,425,0,0,0,14196
426,426,0,0,0,15688
427,427,0,0,0,14369
428,428,0,0,0,10639
429,429,0,0,0,7957
430,430,0,0,0,2092
431,431,0,0,0,654
432,432,0,0,0,2060
433,433,0,0,0,7806
434,434,0,0,0,10415
435,435,0,0,0,14199
436,436,0,0,0,15691
437,437,0,0,0,14382
438,438,0,0,0,10661
439,439,0,0,0,7951
440,440,0,0,0,2086
441,441,0,0,0,671
442,442,0,0,0,2056
443,443,0,0,0,7813
444,444,0,0,0,10432
445,445,0,0,0,14208
446,446,0,0,0,15667
447,447,0,0,0,14365
448,448,0,0,0,10641
449,449,0,0,0,7948
450,450,0,0,0,2125
451,451,0,0,0,654
452,452,0,0,0,2060
453,453,0,0,0,7813
454,454,0,0,0,10419
455,455,0,0,0,14210
456,456,0,0,0,15683
457,457,0,0,0,14368
458,458,0,0,0,10631
459,459,0,0,0,7958
460,460,0,0,0,2082
461,461,0,0,0,668
462,462,0,0,0,2059
463,463,0,0,0,7812
464,464,0,0,0,10437
465,465,0,0,0,14194
466,466,0,0,0,15679
467,467,0,0,0,14361
468,468,0,0,0,10623
469,469,0,0,0,7954
470,470,0,0,0,2089
471,471,0,0,0,671
472,472,0,0,0,2073
473,473,0,0,0,7818
474,474,0,0,0,10394
475,475,0,0,0,14218
476,476,0,0,0,15681
477,477,0,0,0,14384
478,478,0,0,0,10637
479,479,0,0,0,7953
480,480,0,0,0,2103
481,481,0,0,0,664
482,482,0,0,0,2069
483,483,0,0,0,5765
484,484,0,0,0,10419
485,485,0,0,0,14193
486,486,0,0,0,15717
487,487,0,0,0,14402
488,488,0,0,0,10637
489,489,0,0,0,7941
490,490,0,0,0,2063
491,491,0,0,0,658
492,492,0,0,0,2056
493,493,0,0,0,7813
494,494,0,0,0,10408
495,495,0,0,0,14197
496,496,0,0,0,15676
497,497,0,0,0,14369
498,498,0,0,0,10643
499,499,0,0,0,7931
500,500,0,0,0,2087
501,501,0,0,0,679
502,502,0,0,0,2062
503,503,0,0,0,7805
504,504,0,0,0,10398
505,505,0,0,0,14189
506,506,0,0,0,15687
507,507,0,0,0,14400
508,508,0,0,0,10636
509,509,0,0,0,7933
510,510,0,0,0,2087
511,511,0,0,0,661
512,512,0,0,0,2081
513,513,0,0,0,7804
514,514,0,0,0,10433
515,515,0,0,0,14175
516,516,0,0,0,15665
517,517,0,0,0,14380
518,518,0,0,0,10663
519,519,0,0,0,7950
520,520,0,0,0,2089
521,521,0,0,0,664
522,522,0,0,0,2036
523,523,0,0,0,5753
524,524,0,0,0,10420
525,525,0,0,0,14194
526,526,0,0,0,15668
527,527,0,0,0,14366
528,528,0,0,0,10641
529,529,0,0,0,7966
530,530,0,0,0,2094
531,531,0,0,0,674
532,532,0,0,0,2058
533,533,0,0,0,7825
534,534,0,0,0,10430
535,535,0,0,0,14194
536,536,0,0,0,15669
537,537,0,0,0,14383
538,538,0,0,0,10637
539,539,0,0,0,7936
540,540,0,0,0,2100
541,541,0,0,0,651
542,542,0,0,0,2054
543,543,0,0,0,7801
544,544,0,0,0,10405
545,545,0,0,0,14199
546,546,0,0,0,15688
547,547,0,0,0,14378
548,548,0,0,0,10653
549,549,0,0,0,7943
550,550,0,0,0,2077
551,551,0,0,0,672
552,552,0,0,0,2057
553,553,0,0,0,7802
554,554,0,0,0,10394
555,555,0,0,0,14202
556,556,0,0,0,15700
557,557,0,0,0,14381
558,558,0,0,0,10626
559,559,0,0,0,7971
560,560,0,0,0,2098
561,561,0,0,0,658
562,562,0,0,0,2060
563,563,0,0,0,7811
564,564,0,0,0,10399
565,565,0,0,0,14211
566,566,0,0,0,15656
567,567,0,0,0,14384
568,568,0,0,0,10635
569,569,0,0,0,7953
570,570,0,0,0,2100
571,571,0,0,0,648
572,572,0,0,0,2060
